Judul_Pekerjaan,Perusahaan,Lokasi,Jenis_Pekerjaan,Gaji,Kualifikasi_Keterampilan,URL_Target
Manager Accounting & Tax,PT Centrin Online Prima,"Bandung, Jawa Barat",Full time,Dirahasiakan,"Mengelola semua fungsi akuntansi, termasuk penyusunan laporan keuangan, pengendalian anggaran, dan manajemen arus kas | Memastikan kepatuhan terhadap standar akuntansi dan peraturan perpajakan yang berlaku | Menganalisis dan menginterpretasikan data keuangan untuk mendukung pengambilan keputusan strategis | Mengembangkan dan menerapkan sistem dan proses keuangan yang efisien | Memimpin dan membina tim akuntansi, mengawasi kinerja, dan memfasilitasi pengembangan profesional | Berkolaborasi dengan fungsi bisnis lainnya untuk memberikan wawasan keuangan dan mendukung inisiatif strategis | Menganalisa laporan keuangan | Gelar sarjana atau setara di bidang Akuntansi, Keuangan, atau bidang terkait | Memiliki sertifikasi profesional di bidang akuntansi, seperti CPA atau CA, akan menjadi nilai tambah | Menguasai perpajakan (Brevet A & B) | Minimum 8 tahun pengalaman kerja di bidang akuntansi dan perpajakan, dengan setidaknya 3 tahun dalam peran manajerial | Sangat mahir dalam penggunaan perangkat lunak akuntansi dan keuangan, seperti SAP, Oracle, dan Microsoft Excel | Kemampuan analitik yang kuat, ketelitian, dan kemampuan memecahkan masalah | Kemampuan kepemimpinan dan keterampilan manajemen tim yang terbukti | Pemahaman mendalam tentang peraturan dan standar akuntansi serta peraturan perpajakan di Indonesia | Good communication and good leadership",https://id.jobstreet.com/id/job/91537126
IT SAP Specialist,PT Nipro Indonesia Jaya,"Karawang, Jawa Barat",Full time,Dirahasiakan,"Manage and support SAP systems, includingSAP S/4HANA and SAP ECC | Perform system configuration, troubleshooting, and enhancement | Collaborate with internal stakeholders (Finance, Accounting, Supply Chain, etc.) to align SAP functionality with business needs | Provide user support and training related to SAP modules | Analyze business processes and recommend SAP-based solutions | Ensure data accuracy, system integrity, and compliance with company policies | Coordinate with external consultants or vendors when required | Participate in SAP implementation, migration, or upgrade projects | Minimum5 years of experiencein SAP (mandatory) | Strong knowledge ofSAP S/4HANA and SAP ECC | Experience in relevant SAP modules (FI/CO preferred, MM/SD is a plus) | Proficient inEnglish (mandatory) | Ability to communicate inJapanese is highly preferred | Strong analytical and problem-solving skills | Able to work independently and in a team | Good communication and stakeholder management skills | Experience in manufacturing industry | Experience in SAP implementation or migration projects | SAP certification is an advantage",https://id.jobstreet.com/id/job/91487162
Security System Engineer,Sinergi Adhikarya Semesta,"Cikarang Pusat, Jawa Barat",Kontrak/Temporer,Rp 8.000.000 – Rp 11.000.000 per month,"Prepare/Provide technical documentation (Shop Drawing/As Built Drawing, OperationManual and Maintenance, Programming Matrix, and etc.) | Ensure correct specification and material order based on Project Requirement | Ability to ascertain design needs to help develop project scope and specifications. | Collaborate with Customer, SM/PM, and relevant parties to monitor work progress forexpediteinstallationPerforming Inspect, Setup, Testing and commissioning electronics security systemInstallation (Access Control, CCTV, Intrusion Alarm, Intercoms/Public Address,Electronic Lock and keys) and documentations | Ensure that the company health and safety policies and procedures for all employeesis promoted and practiced throughout the Project Operation and for client contracts asappropriate | Carry out and encourage pro-active customer relations | Bachelor’s Degree from reputable university, majoring in Electronics, Computer &Science, Instrumentations, or Industrial Engineering | 5 years of relevant experience in Installation, Configurations or Servicing one or moreLenel OnGuard, CCURE 900, AMAG, BVMS, Interlogix, PIDS, DSC, Kantech, HID | Experience InstallationPerforming Inspect, Setup, Testing and commissioning electronics security system(Access Control, CCTV, Intrusion Alarm, Intercoms/Public Address on Building Project | English proficiencies (reading, writing, conversation) are essential | Computer literature and Networking (Ms Windows, Linux, Office, LAN, Fiber Optic) | Experience in civil and electrical construction works | Great interpersonal skills and the ability to work both independently and in a teamenvironment with excellent organizational and problem-solving skills. | Ability to communicate to vendors and make decisions using industry standardknowledge | Has one or more Lenel Onguard, CCURE 9000, AMAG, BVMS certification is a plus | Experience in AutoCAD or Revu BlueBeam | Provide technical assistance as needed to related parties. | Willing to travel domestically and internationally. (If Needed) | Willing to be placed on site (Cikarang - Karawang) | Can Join As Soon as Posibble",https://id.jobstreet.com/id/job/91399011
IT ERP Odoo Specialist,Octarine Perfume,"Bogor Barat, Jawa Barat",Kontrak/Temporer,Rp 8.000.000 – Rp 12.000.000 per month,"Education minimum Bachelor Degree (S1) in Information Technology/Information System/Accounting/or Equivalent. | Experience minimum 2 years in ERP Support or simillar role. | ERP knowledge strong understanding of ERP System Concept and Business process (Finance/Purchasing/Inventory/Logistic). | Required system experience must have experience working with the Odoo ERP System. | Prefered experience in manufacturing environment is a plus. | SQL provience working knowledge of SQL for database querying, reporting, and data validation. | handle and resolve troubleshooting request from ERP users. | Provide basic training and orientation to new user or those experiencing difficulties. | Create and maintain user documentation and system guides. | Monitor ERP system performance and report any detected issues promptly | Perform data input, updates and validation within the system as required by operational needs. | Assist in data backup and restoration processes (if necessary) | Analyze errors or bugs reported by users and relay them to the relevant parties (developers/vendors) | Prepare reports detailings incidents, system issues, and their corresponding solutions. | Coordinate with internal teams or the ERP vendor for system adjustments or new module development | Perform comprehensive testing of new system or modules before implementation. | Ensure the consistency and integrity of master data across all ERP modules. | Perform updates, export, and import of master data as needed. | Compile regular reports on system issues, system usage, and improvement suggestion. | Extract and submit analytical data reports to stakeholders who require them. | Create and update both technical and procedural documentation for the ERP system.",https://id.jobstreet.com/id/job/91253430
IT Staff (ERP Specialist & System Implementation),PT Cakrawala Inti Nusantara,"Karawang, Jawa Barat",Kontrak/Temporer,Rp 6.000.000 – Rp 7.000.000 per month,"Inisiasi & Pengembangan ERP: Menjadi koordinator dalam merancang, menginisiasi, dan mengimplementasikan program ERP baru (seperti Odoo, SAP, atau Custom ERP) agar sesuai dengan proses bisnis perusahaan. | Analisis Sistem: Melakukan pemetaan kebutuhan antar departemen (Finance, Warehouse, Purchasing dll) untuk diintegrasikan ke dalam sistem ERP. | IT Helpdesk: Menjadi titik kontak pertama (First Line Support) bagi seluruh staf kantor terkait kendala teknis software maupun hardware. | Troubleshooting: Melakukan diagnosa dan perbaikan cepat (troubleshooting) pada masalah jaringan, server, database, serta perangkat komputer pendukung. | Maintenance: Melakukan pemeliharaan rutin pada infrastruktur IT guna memastikan seluruh sistem berjalan tanpa kendala (zero downtime). | Pendidikan minimal S1 Teknik Informatika, atau bidang terkait. | Pengalaman & Pemahaman ERP: Memiliki pengalaman atau pemahaman mendalam mengenai struktur ERP. Diutamakan bagi yang pernah terlibat dalam proyek implementasi ERP dari nol. | Skill Teknis: Menguasai manajemen Database (SQL Server/PostgreSQL/MySQL) dan pemahaman dasar jaringan (Mikrotik/LAN/WAN). | Problem Solver: Mampu berpikir logis dan cepat dalam mengatasi masalah teknis (troubleshooting) baik secara remote maupun onsite. | Komunikasi: Memiliki kemampuan komunikasi yang baik untuk memberikan pelatihan (training) kepada user/pengguna ERP. | Sikap Kerja: Jujur, teliti, mandiri, dan memiliki inisiatif tinggi untuk mengembangkan sistem IT perusahaan.",https://id.jobstreet.com/id/job/91077240
GA & IT MANAGER,PT Dwi Krafi Brands (LASKALA GROUP),"Bekasi, Jawa Barat",Full time,Dirahasiakan,"Mengembangkan dan mengimplementasikan strategi pengelolaan aset perusahaan untuk memastikan optimalisasi penggunaan dan efisiensi biaya | Mengawasi ketersediaan dan kelayakan seluruh fasilitas operasional di Head Office dan Klinik Produksi (konveksi) | Memimpin perencanaan dan pelaksanaan program maintenance preventif dan korektif untuk seluruh fasilitas dan infrastruktur | Mengendalikan proses pengadaan barang dan jasa operasional secara efektif, transparan, dan sesuai kebutuhan bisnis | Menyusun, mengelola, dan mengoptimalkan anggaran operasional GA & IT secara strategis | Membangun dan mengelola hubungan dengan vendor eksternal, termasuk negosiasi dan evaluasi kinerja | Mengawasi standar kebersihan, keamanan, dan kenyamanan lingkungan kerja secara menyeluruh | Mengembangkan sistem administrasi dan document control GA & IT yang terintegrasi | Menyusun laporan manajerial terkait aset, operasional, dan efisiensi biaya sebagai dasar pengambilan keputusan | Mengelola dan mengembangkan infrastruktur IT perusahaan (network, hardware, software) untuk mendukung operasional bisnis | Menetapkan dan memastikan implementasi kebijakan keamanan informasi (IT Security) | Mendorong digitalisasi dan implementasi solusi IT untuk meningkatkan efisiensi proses kerja | Memastikan penerapan standar K3/HSE di seluruh area kerja, khususnya di lingkungan produksi | Melakukan pengawasan, audit, dan continuous improvement terhadap operasional GA & IT di seluruh lokasi kerja | Memimpin dan mengembangkan tim GA & IT (Head Office & Konveksi), serta berperan sebagai business partner bagi seluruh departemen | Pendidikan minimal S1 (Teknik Informatika, Sistem Informasi, Manajemen, atau jurusan terkait) | Pengalaman minimal 5 tahun di bidang General Affairs / IT, dengan minimal 2–3 tahun di posisi managerial | Berpengalaman mengelola operasional multi-lokasi (Head Office & Klinik Produksi/Konveksi) | Memahami pengelolaan aset, fasilitas, serta infrastruktur IT | Memiliki pengalaman dalam budgeting, cost control, dan efisiensi operasional | Memahami implementasi K3/HSE, khususnya di lingkungan produksi | Berpengalaman dalam vendor management dan project operasional | Memiliki kemampuan leadership dan pengambilan keputusan yang kuat | Strategic Asset & Facility Management | IT Infrastructure & Security Management | Budgeting & Cost Control | Vendor & Contract Management | Risk Management & HSE/K3 | Project Management & Process Improvement | Data Analyse | Leadership & Team Development | Strategic Thinking | Problem Solving & Decision Making | Communication & Influencing Skills | Negotiation Skills | Integrity & Accountability",https://id.jobstreet.com/id/job/91421398
Senior System Engineer (Manage Service Level 1 - Senior),PT Indo Online Mitra Usaha (Vox Asia / BraveHub),"Bandung, Jawa Barat(Hibrid)",Full time,Dirahasiakan,"Minimum a Diploma or Bachelor's Degree in Computer Engineering, Telecommunications, Computer Science, Information Technology, or equivalent. | At least5 yearsof professional experience in a related field. | Proficient inMicrosoft Azure,VMware,Microsoft Intune, andMicrosoft 365 Suite. | Solid understanding ofCloud technologiesandIT systems architecture. | Fluent inEnglish(spoken and written) at a minimum ofEU C1 level. | Preferred experience in a supervisory or coordinator role inIT Systems/Networks/Database Administrationor a similar domain. | Monitor systems and respond proactively to incidents and alerts. | Analyze and resolve incidents within agreedSLA timelines. | Collaborate with engineering teams to troubleshoot and address issues raised via monitoring tools. | Schedule and execute manual patch deployments as listed in internal documentation. | Act as thefirst responderfor license renewals and escalate as per procedure. | Providetechnical supportfor systems and infrastructure, serving both internal stakeholders and external clients. | Holds an IT-related diploma/degree or has equivalent experience. | Demonstrates strong operational knowledge of IT systems and infrastructure. | Able to work both independently and in a collaborative team environment. | Well-organized, capable of multitasking, managing priorities, and delivering on deadlines. | Excellent communication and interpersonal skills. | Flexible and adaptable to changing schedules (including potential shift work) and evolving technical responsibilities. | Proficiency inEnglishis essential; knowledge ofFrenchis a plus. | Solid foundation inIT Systems Engineering. | Strong experience with:Operating Systems: Windows (required), Linux (a plus)Virtualization: VMwareCloud Platforms: Microsoft Azure, general cloud conceptsDevice and Endpoint Management: Microsoft IntuneProductivity Tools: Microsoft 365 SuiteNetworking fundamentals | Operating Systems: Windows (required), Linux (a plus) | Virtualization: VMware | Cloud Platforms: Microsoft Azure, general cloud concepts | Device and Endpoint Management: Microsoft Intune | Productivity Tools: Microsoft 365 Suite | Networking fundamentals | Scripting skills inPowerShelland/orPythonare a strong advantage.",https://id.jobstreet.com/id/job/91501371
IT Engineer,OrbusNeich Medical Company Limited,"Kabupaten Bekasi, Jawa Barat",Full time,"Rp 10,000,000 – Rp 13,250,000 per month","Bachelor’s degree in information technology, Computer Science, or any IT related field. | Strong knowledge of Windows operating systems, as well as common software applications. | Strong Experience in Microsoft AD, domain management, Microsoft 365 (M365), and Entra SaaS model. | Familiar with network protocols, hardware, and troubleshooting techniques. | Knowledge of cybersecurity and data protection regulations. | Excellent problem-solving and communication skills. | Ability to work independently and as part of a team | Minimum 5 years of working experience as IT Engineer | Ability to communicate effectively in English | Candidate with proficiency in Mandarin and Cantonese will be an added advantage | Good level of troubleshooting skill and ability to work independently",https://id.jobstreet.com/id/job/91276209
Software Integration Project Manager,PT Giesecke & Devrient Indonesia,"Karawang, Jawa Barat",Full time,Rp 25.000.000 – Rp 35.000.000 per month,"Successfully run and complete projects implementing Vault Management, Warehouse management and/or Production software with additional developments within our client’s organization, within the agreed timelines, budget and quality criteria. | Contributing to project budget calculations and presentations to clients in the pre-sales phase. | Management of resources and distribution of tasks across projects in coordination with the resources involved. | Within quotation processes, the SW Project Manager analyses the implementation strategy and impact. | Within projects the SW Project Manager is able to write requirements, work with the development team and perform acceptance tests. | SW Product Integration capabilities | Proven experience of file transfer mechanism, new integration platforms/APIs | Porting or migration from legacy integration footprints to modern integration landscapes | Large application implementations with significant integration components including ESB, web-services, file transfers, point to point integrations | Anticipating on project timelines by resource allocation scenarios with a horizon of 3-36 months. | Continuous resource and (project) task allocation management based on the dynamics. | Ownership of the project related resource anticipation sheet with a 3-36 month horizon. | Continuous management of proper task allocation and commitment across projects. | Discussing and challenging task requirements and anticipated effort. | Anticipating and discussing development requirements with the Product and Service Manager (internal and external) for alignment with project timelines. | Control project activities of all involved stakeholders and address issues like missing tasks, improper task descriptions, non-committed tasks, overdue tasks, etc. | Managing people’s proper project contributions regarding taking task and due date responsibility and delivering high quality. | Managing large projects or programs with multiple projects or work streams operating in parallel with internal and external dependencies | Executing projects with significant third party dependencies and stakeholder management to align delivery time frames and testing | Creation of detailed project plans consisting of scope, deliverables, budget, delivery and lead times, resource planning, risks & mitigations, communication and reporting. | Organize proper project teams and their involvement in the creation of plans and commitment to the tasks. | Monitor and manage project involved in order to achieve quality and timely deliveries. | Coaching of project involved and Sales team members regarding project management. | Manage risks, resources, issues across all projects with a horizon 3-36 months. | Intervene when project involved cannot resolve project issues. | Plan and manage transfers from project to support. | Regular communication with and visits to clients where projects are operative, informing them about the progress of the projects. | Organization and execution of the steering committee meetings and ensure proper governance. | Organize project evaluations and lessons learned registration, for future use. | Continuous improvement of the processes. | Management of implementation project budgets. | Deciding on (priorities relating to) the use of internal and external employees. | Deciding on task allocations. | Deciding on project standards and methodologies. | (Client) project objectives and results. | Commercial project success. | Project organisation - quality and effectiveness. | Satisfaction of principals, clients, relations. | Quality and implementation of improvement suggestions. | Project management | Handling cash and cash management processes | Concepts and models for supply chain integration and logistics | Software product and services of G+D | Business process (re)design | G+D Strategy | Project management | Interpersonal skills (including communication) | Planning and organizing | Conflict handling | Ability to remain positive, with a 'can do' attitude | Ability to find pragmatic solutions to challenges | Forward thinking | Result orientation | Managing performance | Decisiveness | Persuasiveness | External awareness",https://id.jobstreet.com/id/job/91591447
Staf IT Support,PT Sinar Sakti Metalindo,"Cileungsi, Jawa Barat",Full time,Dirahasiakan,"Pendidikan minimalD3 Teknik Informatika, Teknik Komputer, atau jurusan lain yang setara. | MenguasaiMikrotik(NAT, Routing, Firewall, Bandwidth Management, Switching, Security). | Menguasai dan memahami sistem operasiWindowsdanLinux. | Memahamiinstalasi server, printer, dan VMware. | Memiliki pengetahuan dan kemampuan dalamNetworking, Switching, Routing, Server, Storage, danVMware. | Mampu melakukantroubleshootingpadahardware, software, jaringan, dan server. | Berpengalaman dalammaintenance server email. | Berdomisili di Kab. Bogor, Bekasi, Cibinong, Depok, dan sekitarnya, atau bersedia kost jika berasal dari luar daerah tersebut. | Menyukaitantangan kerjadan memiliki komitmen tinggi terhadap tanggung jawab. | Melakukanpemeliharaan dan perbaikanperangkatkomputer, jaringan, dan serveragar sistem IT perusahaan berjalan optimal. | Mengelola dan memantaukoneksi jaringan, termasuk konfigurasi Mikrotik, firewall, dan bandwidth management. | Melakukaninstalasi, konfigurasi, dan update software serta sistem operasipada perangkat kerja dan server. | Menangani dan mendokumentasikantroubleshootingterkait hardware, software, serta jaringan internal perusahaan. | Menyiapkan dan memeliharainfrastruktur server, storage, dan virtualisasi (VMware). | Melakukanmaintenance berkalapadaserver emaildan perangkat pendukung komunikasi lainnya. | Memberikandukungan teknis (technical support)kepada seluruh divisi perusahaan. | Berkoordinasi dengan tim terkait untuk memastikankeamanan dan stabilitas sistem ITperusahaan.",https://id.jobstreet.com/id/job/91578390
Senior Web Fullstack Engineer,The Economist Group (Asia/Pacific) Limited,"Bandung Barat, Jawa Barat(Hibrid)",Full time,"Rp 40,000,000 – Rp 50,000,000 per month","Design, build and evolve web applications that power video streaming, live events, podcasts and supporting product journeys. | Develop responsive, accessible, high performance frontends using React.js, Next.js and modern TypeScript. | Build and maintain backend services and APIs supporting media delivery, playback configuration and core product features. | Work with HLS and adaptive bitrate streaming, ensuring reliable playback across devices and network conditions. | Contribute to streaming workflows, including packaging, CDN integration and live event delivery. | Design and operate cloud native solutions on AWS, using services such as S3, Lambda, RDS and container based workloads. | Own performance across the stack, from Core Web Vitals to backend latency and caching. | Ensure strong observability, testing and CI and CD practices across services in production. | Collaborate closely with Product, Design and Editorial teams, and contribute to technical direction within the squad.. | 8+ years of experience in Web frontend and backend engineering. | Strong fullstack experience with JavaScript or TypeScript across frontend and backend. | Proven experience building production applications with React.js and Next.js. | Experience designing and developing RESTful APIs, ideally with Node.js or similar. | Solid understanding of modern web architecture, including SSR, static generation and CDN strategies. | Hands on experience with AWS and cloud native application design. | Good grasp of web performance, accessibility and scalable system design. | Experience with video streaming technologies, particularly HLS and adaptive bitrate streaming, is highly desirable. | Familiarity with CI and CD, containerization and infrastructure as code. | Clear communication skills, sound judgement and a strong sense of ownership.",https://id.jobstreet.com/id/job/91314492
Quality Assurance Engineer (Non IT),PT Technomed Asia,"Bandung, Jawa Barat",Full time,Dirahasiakan,"Lead root cause analyses to support the resolution of quality issues, including customer complaints and non-conformities, and assist in implementing corrective and preventive actions (CAPA) in collaboration with cross-functional teams. | Familiar with process risk assessments, complete risk management plans and reports. | Demonstrate knowledge of process risk assessments, including the preparation of risk management plans and related documentation. | Collaborate with cross-functional departments to support the development, improvement, and optimization of quality inspection methods and manufacturing instructions. | Perform trend analysis of inspection results and other Quality Management System (QMS) data using basic statistical analysis tools to support continuous improvement activities. | Possess a solid understanding of inspection and validation activities, which is considered a strong advantage. | Education, minimum Bachelor of Industrial Engineering. | Have a minimum of 5 years working experience in the QA field, preferably in the medical device industry with expertise in engineering. | Have knowledge of how to set control limits, and complete trend analysis, with applicable statistical methods. | Accustomed to working using data processing and analysis applications and Ms Office. | Well-organized and understanding of the importance of good documentation | Fluent in english | Proactive and looking for improvement opportunities on own initiative | Comfortable working independently and handling assigned tasks effectively | Located in Kopo Katapang (Kabupaten Bandung)",https://id.jobstreet.com/id/job/91561093
IT Staff,Yayasan Duranno Indonesia,"Cikarang Pusat, Jawa Barat",Full time,Dirahasiakan,"Melakukan instalasi, konfigurasi, pemeliharaan, dan perbaikan komputer, laptop, monitor, dan printer. | Memantau kinerja perangkat keras dan melakukan upgrade atau perbaikan yang diperlukan. | Menangani permintaan bantuan terkait perbaikan perangkat keras | Mengelola dan memelihara infrastruktur jaringan, baik jaringan kabel maupun nirkabel (Wi-Fi). | Mendiagnosis dan menyelesaikan masalah koneksi internet dan jaringan. | Menyusun dan menerapkan pengaturan serta kebijakan keamanan jaringan. | Melakukan instalasi, pemeliharaan, dan pemantauan server fisik atau virtual. | Menjamin keamanan server, termasuk proses backup dan pemulihan data secara berkala. | Mengoptimalkan kinerja server dan melakukan pembaruan sistem secara berkala. | Menginstal dan memberikan dukungan untuk perangkat lunak penting seperti Microsoft Office dan aplikasi lainnya. | Mengelola lisensi perangkat lunak, termasuk pembaruan dan kepatuhan terhadap kebijakan IT. | Menjaga agar perangkat lunak yang digunakan sesuai dengan kebutuhan dan standar organisasi. | Memberikan dukungan teknis tingkat pertama kepada staf terkait berbagai isu TI. | Mendokumentasikan dan menyelesaikan permintaan bantuan teknis dengan cepat dan efektif. | Memberikan pelatihan dan panduan dasar kepada pengguna untuk meningkatkan pemahaman dan keterampilan digital. | Melaksanakan tugas teknisi lainnya sesuai kebutuhan departemen General Affairs dan arahan dari direktur. | Pendidikan minimal SMK atau S1 di bidang Teknologi Informasi, Ilmu Komputer, atau bidang terkait. | Pengalaman kerja minimal 2–3 tahun di bidang dukungan TI, administrasi sistem, atau pengelolaan infrastruktur TI. | Menguasai perangkat keras komputer, jaringan, sistem operasi Windows, dan manajemen server. | Memahami prinsip-prinsip keamanan jaringan, sistem backup, dan manajemen lisensi. | Memiliki kemampuan analisis dan pemecahan masalah yang baik. | Komunikatif, proaktif, dan mampu bekerja secara mandiri maupun dalam tim. | Penugasan dilakukan secara on-site (langsung di lokasi kerja). | Kemungkinan diperlukan kerja di luar jam kerja reguler (malam atau akhir pekan) untuk keperluan pemeliharaan sistem.",https://id.jobstreet.com/id/job/91279617
IT DEVELOPMENT,PT. Fuji Seiki Indonesia,"Bandung Barat, Jawa Barat",Full time,Dirahasiakan,"Pendidikan minimal D3/S1 (Teknik Komputer/Teknik Informatika) | Pengalaman minimal 1 tahun (Freshgraduate dipersilahkan melamar) | Memiliki keterampilan dalam Use Case, Activity Diagram, Class Diagram , ERD. | Memiliki pengetahuan yang baik mengenai HTML,CSS,XML,JavaScript,jQuery,Bootstrap ;Java, vb.Net, PHP, Phyton | Memiliki pengetahuan mengenai MySQL, PostgreSQL, and Oracle | Memiliki pengetahuan mengenai Git, Github, dan Android Studio | Pernah Terlibat dalam project | Penempatan di Bandung",https://id.jobstreet.com/id/job/91100976
Cyber Security Specialist,PT Minori,"Cikarang Selatan, Jawa Barat",Full time,Rp 10.000.000 – Rp 12.000.000 per month,"Min S1 Ilmu Komputer/ Teknik Jaringan/Teknik Elektro | Memiliki pengalaman 3-5 tahun dalam Keamanan Informasi/ Siber | Memiliki sertifikasi (CEH, CISSP, CompTIA Security+) - Jika memiliki menjadi nilai plus | Memiliki pengalaman dengan alat Pen Testing | Memiliki pemahaman arsitektur jaringan | Mahir konfigurasi SIEM | Memiliki kemampuan analitis yang tinggi | Siap bekerja dibawah tekanan | Memiliki komunikasi yang baik & dapat bekerja sama dengan tim | Penetration testing dan vulnerability assessment | Memantau sistem keamanan (SIEM, IDS/IPS) | Mengembangkan kebijakan keamanan | Melakukan forensik digital setelah insiden",https://id.jobstreet.com/id/job/91496477
Manager R&D Pangan Internasional,PT Dali Foods Indonesia,"Karawang, Jawa Barat",Full time,Dirahasiakan,"Pendidikan minimalS1 Ilmu & Teknologi Pangan / Teknik Panganatau terkait | Pengalaman minimal5 tahundi R&D makanan ringan | Berpengalaman mengembangkan produk bakery (biskuit, kue, roti) hingga produksi massal | Memahami tren pasar snack internasional | Mampu bekerja lintas departemen dan memimpin tim | Memahami regulasi pangan dan sertifikasi Halal | Wajib fasih Bahasa Inggris(lisan & tulisan) | Bersediapenempatan dan tugas jangka panjang di luar negeri | Nilai tambah:pengalaman di perusahaan multinasional & menguasai bahasa lokal pasar sasaran | Mengembangkan dan mengelola produk makanan ringan (snack) untuk pasar luar negeri | Melakukan riset tren pasar dan kebutuhan konsumen regional (Asia Tenggara / Timur Tengah) | Memimpin proses R&D dari konsep hingga produksi massal | Berkoordinasi dengan tim produksi, penjualan, branding, dan pengadaan | Menjamin kualitas, stabilitas produk, dan efisiensi biaya R&D | Memastikan kepatuhan terhadap regulasi pangan dan sertifikasi (termasuk Halal) | Membina dan mengembangkan tim R&D | Melaporkan progres R&D kepada manajemen",https://id.jobstreet.com/id/job/91562025
Software Engineer,PT.Web Commerce Communications,"Bekasi, Jawa Barat",Kontrak/Temporer,Dirahasiakan,Lead the migration of legacy Struts-based applications to Spring Boot | Design and implement Spring MVC-based application architecture | Upgrade application compatibility from JDK 8 to JDK 21 | Refactor existing modules to improve maintainability and performance | Ensure successful deployment and compatibility with WebLogic application server | Refactor and validate existing JasperReports reporting modules | Conduct code reviews and maintain development best practices | Troubleshoot technical issues during migration and system integration | Collaborate with the Project Manager to ensure timely delivery | Strong experience in Java development (JDK 8 or above) | Experience with Spring Framework / Spring Boot | Solid understanding of MVC architecture | Experience working with enterprise Java web applications | Familiarity with JSP / Servlet-based development | Experience with Maven or Gradle build tools | Familiarity with WebLogic or other enterprise application servers | Strong debugging and troubleshooting skills,https://id.jobstreet.com/id/job/91476508
