role_category,source_skill,target_skill,weight
AI / Machine Learning Engineer,sql,tableau,9
AI / Machine Learning Engineer,agile,bash,8
AI / Machine Learning Engineer,agile,pmp,8
AI / Machine Learning Engineer,ai,jenkins,8
AI / Machine Learning Engineer,ai,rag,8
AI / Machine Learning Engineer,apache,hadoop,8
AI / Machine Learning Engineer,artificial intelligence,google cloud,8
AI / Machine Learning Engineer,artificial intelligence,scrum,8
AI / Machine Learning Engineer,aws,pmp,8
AI / Machine Learning Engineer,aws,version control,8
AI / Machine Learning Engineer,azure,hive,8
AI / Machine Learning Engineer,azure,langchain,8
AI / Machine Learning Engineer,azure,llm,8
AI / Machine Learning Engineer,bash,kubernetes,8
AI / Machine Learning Engineer,c#,pytorch,8
AI / Machine Learning Engineer,c#,tensorflow,8
AI / Machine Learning Engineer,cassandra,java,8
AI / Machine Learning Engineer,cassandra,machine learning,8
AI / Machine Learning Engineer,cassandra,mongodb,8
AI / Machine Learning Engineer,cassandra,sql,8
AI / Machine Learning Engineer,ci/cd,kafka,8
AI / Machine Learning Engineer,computer vision,django,8
AI / Machine Learning Engineer,confluence,kubernetes,8
AI / Machine Learning Engineer,data modeling,deep learning,8
AI / Machine Learning Engineer,data modeling,tensorflow,8
AI / Machine Learning Engineer,deep learning,hive,8
AI / Machine Learning Engineer,docker,fastapi,8
AI / Machine Learning Engineer,docker,kafka,8
AI / Machine Learning Engineer,docker,llm,8
AI / Machine Learning Engineer,docker,version control,8
AI / Machine Learning Engineer,etl,gcp,8
AI / Machine Learning Engineer,flask,sql,8
AI / Machine Learning Engineer,gcp,github,8
AI / Machine Learning Engineer,go,pytorch,8
AI / Machine Learning Engineer,hadoop,scrum,8
AI / Machine Learning Engineer,java,jenkins,8
AI / Machine Learning Engineer,java,kafka,8
AI / Machine Learning Engineer,java,microservices,8
AI / Machine Learning Engineer,jira,pytorch,8
AI / Machine Learning Engineer,jira,tensorflow,8
AI / Machine Learning Engineer,kanban,sql,8
AI / Machine Learning Engineer,langchain,machine learning,8
AI / Machine Learning Engineer,langchain,pytorch,8
AI / Machine Learning Engineer,linux,scrum,8
AI / Machine Learning Engineer,llm,prompt engineering,8
AI / Machine Learning Engineer,machine learning,mysql,8
AI / Machine Learning Engineer,microservices,spark,8
AI / Machine Learning Engineer,openai,python,8
AI / Machine Learning Engineer,oracle,python,8
AI / Machine Learning Engineer,python,ruby,8
AI / Machine Learning Engineer,pytorch,terraform,8
AI / Machine Learning Engineer,pytorch,version control,8
AI / Machine Learning Engineer,tensorflow,version control,8
AI / Machine Learning Engineer,agile,apache,7
AI / Machine Learning Engineer,agile,microservices,7
AI / Machine Learning Engineer,agile,version control,7
AI / Machine Learning Engineer,ai,apache,7
AI / Machine Learning Engineer,ai,c#,7
AI / Machine Learning Engineer,ai,hive,7
AI / Machine Learning Engineer,ai,kanban,7
AI / Machine Learning Engineer,ai,node.js,7
AI / Machine Learning Engineer,ai,openai,7
AI / Machine Learning Engineer,angular,python,7
AI / Machine Learning Engineer,apache,azure,7
AI / Machine Learning Engineer,apache,docker,7
AI / Machine Learning Engineer,artificial intelligence,gcp,7
AI / Machine Learning Engineer,automation testing,computer vision,7
